user,location,text
diegoacvdot,"Medellín, Colombia","Los petristas son tan... petristas, que hacen una cadena de oración para defender una mentira. Muy bruticos esos subnormales. #CadenaDeAfectosPorPetro 🤣"
MIRYNEI, 🇨🇴 ⬅️➡️ 🇵🇹,"Ante tantas contradicciones de su mano derecha @GustavoBolivar  sería bueno que @petrogustavo diera claridad al embrollo, de lo contrario quedará como una gran pantomima, donde al actor secundario ves le olvidó el libreto.
#CadenaDeAfectosPorPetro"
ureche_javier,aaadldmds4,Queremos que acompañe a su camarada chavez👏 #CadenaDeAfectosPorPetro
miangelfue,,"#CadenaDeAfectosPorPetro
Mi estimado senador se le aprecia lo q hace x nuestra patria. Sus exámenes van a salir muy bien. Pronto regreso el país lo espera con toda como siempre. Su responsabilidad y juiciosa labor hacen q sea un excelente líder."
FABI3028,,"@ColombianoInd Infame e hipócrita esta señora, da asco #CadenaDeAfectosPorPetro #13Abr #AbrilDeVictoriaPopular #EcuadorEnEmergencia"
Alexand36331909,,"#CadenaDeAfectosPorPetro @petrogustavo a este hp no lo afecta nada, los #mamertos lo quieren con cáncer para llorar a este tonto y martirizarlo como líder de su fallida #Revolucion petrico #mentiroso"
LuisCasMendez,,#CadenaDeAfectosPorPetro los especialistas de la clínica Colombia son mejores que el médico de la SantaFd que filtro la historia clínica
LuisCasMendez,,#CadenaDeAfectosPorPetro fuerza
mapmateus,,#CadenaDeAfectosPorPetro senador rogamos por que Dios le devuelva su salud.
farcila20,,"#CadenaDeAfectosPorPetro todo salió bien, según Bobolivar el aborto que le practicaron a Gusfajo fue un éxito, deberían aprobar el aborto en Colombia, así no tener que pagar charter a Cuba"
diegoacvdot,"Medellín, Colombia","El novelón de @GustavoBolivar aliás el churrias y @petrogustavo aliás el cacas va en un legrado 😬. Esperemos el desenlace de esta novela de ficción, amor y traición.
#NoLeCreoAPetro #PetroMiente #ElCacas #CadenaDeAfectosPorPetro #CadenaPerpetuaAPetro"
Lucas89777309,,"Díganme si éste hombre  es muy noble😍😍😍.
Salir a defender la entidad de donde supuestamente le dicen mentiroso y lo insultaron de HDP.
#CadenaDeAfectosPorPetro 
#FuerzaPetroEstamosContigo 
#PetroEstamosContigo 
#GraciasPetro https://t.co/RfBrHUZsD7"
superfunknown,,"@petrogustavo Adelante Gustavo Petro, es un ejemplo para muchos y para mí. #CadenaDeAfectosPorPetro"
farcila20,,"#CadenaDeAfectosPorPetro que maravillado no solo por el sistema de salud de Cuba, el internet excelente, dr @petrogustavo cuánto me cuesta una cita médica y un charter para Cuba? es para ver si cancelo mi cita en la porquería de EPS"
2972mayar,,#CadenaDeAfectosPorPetro nadie se va a morir menos ahora que el canto de la patria es nuestro canto . https://t.co/cMHSiiEke8
CFDMathias,Bogotá D.C. Colombia,"#CadenaDeAfectosPorPetro
#CadenaDeAfectosPorPetro 
#CadenaDeAfectosPorPetro 
¡ MI FAMILIA LO NECESITA !
¡ COLOMBIA. LO NECESITA !
¡ FUERZA MI PRESIDENTE   ! https://t.co/gGhW4914kT"
dairo_galvan,,#CadenaDeAfectosPorPetro Fuerza Guerrero! Estamos contigo y Dios también!
VillamizarEder,,@GustavoBolivar #CadenaDeAfectosPorPetro tal cuál.
Herman_Cadena,"Bogotá, DC, Colombia",@petrogustavo Va a salir todo muy bien amigo Petro #CadenaDeAfectosPorPetro
Lynx_581,En un lugar de la puta mierda,"#CadenaDeAfectosPorPetro, que enseguida se reintegró al trabajo en sesión virtual. No como los del centro democrático, que si los llaman a indagatoria les da diarrea."
alfredopetroju3,Colombia Bogotá ,"Cuál es el miedo de la derecha con la emfermedad de Petro?

Fácil, si Petro vence al cáncer, no habrá fraude que valga para robarle las elecciones otra vez

Vamos, Petro, el pueblo te acompaña. 

#CadenaDeAfectosPorPetro"
matte_too,,"@tere_marinovic Señora, estos bot los paga usted??? #Amanda #coronavirus #QuedateEnCasa #YoMeQuedoEnCasa #Chernobyl #teresa #Apruebo #MoreLatinosInNews #morel #survivor2020favorim #CadenaDeAfectosPorPetro # https://t.co/9FAIBFkOzR"
MSehlsa,"Pereira, Colombia","#CadenaDeAfectosPorPetro que, como el ave Fénix, reinicie, más fortalecido que nunca, la lucha en/por/para Colombia,"
tavoalvarez99,Cucuta-Colombia,Vamos amigo recuperate pronto #CadenaDeAfectosPorPetro
BardalesSergio,Abajo y a la izquierda.,"@petrogustavo
@nicolaspetroB

Colombia 

Fuerza Gustavo Petro 

La cirugía salió bien, toca esperar los resultados. 

A reforzar la #CadenaDeAfectosPorPetro

(Nicolas Petro). https://t.co/CRFGI7CDHD"
BardalesSergio,Abajo y a la izquierda.,"@petrogustavo
@nicolaspetroB
https://t.co/jh7EAMKhTb

Colombia 

Fuerza Gustavo Petro 

La cirugía salió bien, toca esperar los resultados. 

A reforzar la #CadenaDeAfectosPorPetro

(Nicolas Petro)."
papisa3166,"New York, NY",Como así que @petrogustavo le hicieron legrado? Ginecológico u obstétrico? O se le subieron los huevos a la garganta? No se puede ser más estúpido. #CadenaDeAfectosPorPetro #FuerzaPetro #PetroMiente https://t.co/l6r3Hk6ytF
goyoski,sur americaland,#CadenaDeAfectosPorPetro. SALVE LORD PETROSKY.....SEGUIMOS EN LA LUCHA
adrianmonigote,La sucia Bogota,"@patriciajaniot @petrogustavo Señora usted está difundiendo odio sin pruebas. Investigue acerca de la corrupción del ingreso solidario, que Perro esté enfermo le incumbe solamente a Él y a su familia. #CadenaDeAfectosPorPetro"
AndresPala89,bogota city,"Los Fantas A Los Que Se Les PagaRa La Devolución Del IVA ... Uribestias
Compruebe lo Usted Mismo Zoombies 
⚠️ #URGENTE ⚠️
☢️ @IvanDuque ☣️
#CadenaDeAfectosPorPetro 
#cuidarnuestrosmedicoses 
#coronavirus 
#Endoscopia al 99,9% De Los Carrasquilla De La 
🆘 DIAN 🆘 👇🏽
CC 3333333... https://t.co/aqyuFgNgEB"
galindoji,La Patria Grande.,#CadenaDeAfectosPorPetro ❤️❤️❤️❤️❤️❤️❤️ #FuerzaPetro  mi presi!!! https://t.co/JV19QUnL8a
Amberlita2000,Colombia tierra querida,"#CadenaDeAfectosPorPetro Dios te de salud y bienestar, estamos confiados todos en una Colombia Humana #FuerzaPetro Bendicionessss!!!"
ejimce,Barranquilla - Colombia,"#CadenaDeAfectosPorPetro 
#CadenaDeAfectosPorPetro 
No puede negarse es el mismo hpta.

#NoMasLey100 
@FSFB_Salud 
@petrogustavo https://t.co/ftDyWcF0yM"
RioslCarolina,"Colombia, Bucaramanga","Toda mi energía y oraciones por la salud de @petrogustavo lo esperamos pronto en nuestra necesitada Colombia, seguiremos con más fuerza la lucha por un país más humano. #CadenaDeAfectosPorPetro"
lilocediel,Montréal-Canadá,#CadenaDeAfectosPorPetro recupérate Petrico
yonier2012,"Villavicencio, Colombia","• Pandemia ✅
• Erupción volcánica ✅
• Terremoto ✅
• Meteorito ❓
• Posible Tornado en EEUU ✅

• BONUS TRACK: Incendio radiactivo en Chernobil ✅

#QuedateEnCasa #Chernobyl #Meteorito #Indonesia #TORNADOEMERGENCY #CadenaDeAfectosPorPetro #"
jorgegarciapab4,El Caribe Colombiano.,"#CadenaDeAfectosPorPetro adelante mi querido y compatriota @petrogustavo a restablecerse, junto a tu familia, que es lo mas importante, lucha espera."
lochome,Bogotá Colombia,@petrogustavo no soy su simpatizante pero deseo de todo corazón que se mejore y q su tratamiento sea exitoso. Petro  es fundamental para el debate en este país. #CadenaDeAfectosPorPetro
matte_too,,"@ximenes141163 @24HorasTVN Porque eso no es verdad, fue desmentido, awueonao. #coronavirus #Amanda #QuedateEnCasa #Chernobyl #COVID19 #CadenaDeAfectosPorPetro"
peraltaflix1,,"@nicolaspetroB Personas que cambian nuestros conceptos a cerca de su inteligencia , buen juicio y sentido común.  #CadenaDeAfectosPorPetro"
jorpasion,Colombia,"Esperamos tu pronta recuperación Gustavo.

#CadenaDeAfectosPorPetro 
#FuerzaPetro
@petrogustavo 
@ColombiaHumana_"
LuqmiIvan,Valle del Cauca,El único que se da el lujo de decirles las cosas de frente a estos ampones el único que solo saco a la luz el paramilitarismo el sii el que solo saco a luz los falsos positivos es por eso que le traen tanta bronca por ser quien es @petrogustavo #CadenaDeAfectosPorPetro #DuqueMise https://t.co/EFX3sMkwZH
AndresPala89,bogota city,"@GABOZARRATE @BSulfatado @AlvaroUribeVel @ExavierFlorez1 @ivamanzano Ahora Nos Llenan El Estómago ...
A punta De videos .. 
Que miserable 
#CadenaDeAfectosPorPetro 
Que se Le Robaron La Presidencia 
#cuidarnuestrosmedicoses 
Asesinos @CeDemocratico 
@MinSaludCol 
#RoboSolidario 
#13Abril https://t.co/9iP2jCdOjs"
reformista_lib,"Bogotá, D.C., Colombia","- Los cantantes uribistas ya donaron ✅
- En el senado todo el Centro Democrático ya donaron ✅
- Los empresarios uribistas ya donaron ✅
- Los actores uribistas ya donaron ✅

Y los petristas? Cruzando los dedos para que Petro tenga cancer.

#CadenaDeAfectosPorPetro"
alfredopetroju3,Colombia Bogotá ,"RepúblicaDeLatinoamérica (@ManuelBeltrn14) twitteó: Cuál es el miedo de la derecha con la emfermedad de Petro?

Fácil, si Petro vence al cáncer, no habrá fraude que valga para robarle las elecciones otra vez

Vamos, Petro, el pueblo te acompaña. 

#CadenaDeAfectosPorPetro"
lauradiep2,,Ayudene a crear una cadena de oración por la vida de @petrogustavo  #CadenaDeAfectosPorPetro #petro . Esta muy delicado según los cables internacionales
Rossyross17,"Cali, Colombia","La justicia Divina siempre lo cuidará porque somos más los buenos quienes oramos por su pronta recuperación. 
#CadenaDeAfectosPorPetro"
nanhernandez46,colombia,"#CadenaDeAfectosPorPetro 
NO ES DE MIS AFECTOS. COMO LÍDER Y POLÍTICO ME PARECE TAN NEFASTO Y PERVERSO COMO EL QUE YA SABEMOS.  SUS SEGUIDORES SON IGUALES DE FANÁTICOS Y ENFERMOS COMO LOS DEL OTRO. PERO COMO PERSONA,  LE DESEO UN BUEN DIAGNÓSTICO Y PRONTA RECUPERACIÓN."
Karibeno_R,Colombia,"#13Abril |¡Homenaje!| #Opinión
""𝗬𝗼 𝗻𝗼 𝘀𝗼𝘆 𝘂𝗻 𝗵𝗼𝗺𝗯𝗿𝗲, 𝘀𝗼𝘆 𝘂𝗻 𝗽𝘂𝗲𝗯𝗹𝗼"" 𝗝𝗼𝗿𝗴𝗲 𝗘𝗹𝗶𝗲́𝗰𝗲𝗿 𝗚𝗮𝗶𝘁𝗮́𝗻 𝟭𝟵𝟬𝟯-𝟭𝟵𝟰𝟴.

""Por la restauracion moral de la Republica, Pueblo ¡A la Carga!""

#FrenteDeGuerraNorteELN
#CadenaDeAfectosPorPetro
#Colombia https://t.co/Od4kw7yPGH"
molinataborda,Pereira ,"Valiente y decidido ante los corruptos, 
De esta sale bien #CadenaDeAfectosPorPetro"
lianato28,Barranquilla,Vamos Petro. #CadenaDeAfectosPorPetro
Ishikary_Ackerm,"Bogotá, D.C., Colombia","@AidaAvellaE @petrogustavo @SenadoGovCo Que increíble fuerza!!! En lugar de estar descansando tras su cirugía, ahí está trabajando. Ánimo estamos seguros su recuperación #CadenaDeAfectosPorPetro #FuerzaPetro"
shekinarth,Casanare colombia   ,"#CadenaDeAfectosPorPetro vamos mi presidente, la corrupción no se detiene y hay que seguir combatiendola @petrogustavo"
fredylopezreyes,COLOMBIA,#CadenaDeAfectosPorPetro mañana habrán muy buenas noticias  fuerza mi Petro Colombia de la política de la vida esta contigo
pierrealee,Barranquilla - Santa Marta ,"La crisis sanitaria por el #CoronavirusEnColombia se le responde con trabajo desde las instituciones @SenadoGovCo. 
Que fortaleza y ejemplo @petrogustavo #CadenaDeAfectosPorPetro https://t.co/7H3pHiRCoE"
Rafaperezacosta,,#CadenaDeAfectosPorPetro porq es el líder q nos devolvió la esperanza y con sus denuncias nos libró de muchos delincuentes y corruptos creando leyes y ejecutando a su favor
anfemota,,Yo me uno a la #cadenadeafectosporpetro... necesitamos un actor activo como él para la democracia de este país.
itsRobinRude,,Ánimo presidente #CadenaDeAfectosPorPetro
SoyHenryYepes,Bogotá,"@MajoDoria Ellos, excusándose en un hashtag ""escéptico"" le desean la muerte a @petrogustavo, no, no es escepticismo, es mezquindad y lo que poseen es un espíritu ruin que junto a su conciencia están siendo impulsados por una fuerza muy oscura. ¿Tiempo de reflexión?
#CadenaDeAfectosPorPetro"
SoyHenryYepes,Bogotá,"@andreapetro91 Ellos, excusándose en un hashtag ""escéptico"" le desean la muerte a @petrogustavo, no, no es escepticismo, son mezquinos y lo que poseen es un espíritu ruin que junto a su conciencia están siendo impulsados por una fuerza muy oscura. ¿Tiempo de reflexión?
#CadenaDeAfectosPorPetro"
Oscar_GCh,Colombia,"@JulianFMartinez Así es Julián!

El periodismo trasciende solamente basado en hechos reales, en lo substancial, en investigaciones serias, no meras opiniones vanas y acomodadas para favorecer a un establecimiento narcoparamilitar... Eso es @lcvelez y @saludhernandezm

#CadenaDeAfectosPorPetro"
Monyrica,Colombia,"#CadenaDeAfectosPorPetro Si Petro fuera el profesor me metería a estudiar, estudiaria toda la vida, con Petro uno aprende, Con Petro uno sueña, Petro comparte su conocimiento, nos da dignidad, empodera al pueblo, despierta los mejores valores en el ser humano, quiero q sea presi"
jorgeenavarro4,Cali,#CadenaDeAfectosPorPetro Gracias a Dios todo salió bien.
Monyrica,Colombia,"#CadenaDeAfectosPorPetro Más videos de Petro, me encanta escuchar a Petro, los debates, los balconazos, las plazas en campaña, son una colección de oro, quiero un concierto de Petro, pagaría por escucharlo y verlo 
Nos llena de esperanza de saber y conocimiento 
Grande Petro"
MarialisMuriel,,Mucha fuerza♥️ sé que Dios lo cuida mucho 🙏🏻#CadenaDeAfectosPorPetro
Dohaney77,cartagena de indias,#CadenaDeAfectosPorPetro fuerza @petrogustavo
Juankcelis,Bogotano Ciudadano del Mundo,@GustavoBolivar Gustavo Bolivar @petrogustavo y sus secuaces con su  #CadenaDeAfectosPorPetro lo único que logran es que si no es cierto el cáncer del autoproclamado caudillo &amp; líder de @ColombiaHumana_  . Atraigan a lo que le temen y  en poco pasaran a Q.E.P.D
martyalen32,Siempre ando por ahí 🤨,"Punto para Nayibe 👍🏻, espero que esto que está diciendo lo cumpla a cabalidad y efectivamente cuide a los habitantes  y trabajador@s de la salud de esta ciudad #FelizLunes #cuidarnuestrosmedicoses #CadenaDeAfectosPorPetro https://t.co/dNj2xauVSY"
Riyel02,"Manizales, Colombia",Esperemos que pronto tenga su encuentro con Hugo Chavez #CadenaDeAfectosPorPetro
pierrealee,Barranquilla - Santa Marta ,"Sobre el anuncio de @petrogustavo, aquí está la verdad científica #CadenaDeAfectosPorPetro https://t.co/vxu7wgsX8D"
camilojuan76,,#CadenaDeAfectosPorPetro  esta cadena es la misma que el usaba con sus secuestrados?
Elsargoz,,#CadenaDeAfectosPorPetro  Mucha alegría de saberlo bien. Todas nuestras mejores energías. #FuerzaPetroEstamosContigo
DoncelSanch,chia,"Vamos, fuerza senador, futuro presidente, te necesitamos!!#CadenaDeAfectosPorPetro"
marcianamadre,,Dios te siga protegiendo #CadenaDeAfectosPorPetro
Luchito2022,"Kentucky, USA","Tan raro.
Los que detestamos al bandido, corrupto de @petrogustavo estamos deseando que no tenga cáncer.
Y los colectivos PETRISTAS están deseando que si tenga cáncer.
🤣🤣🤣🤣🤣🤣🤣🤣
#CadenaDeAfectosPorPetro
#"
Davis55330845,,"🙌 Dios te bendiga, te de salud y sabiduría para acompañar al pueblo colombiano @petrogustavo Eres EL AMIGO DEL PUEBLO. #CadenaDeAfectosPorPetro"
jcgiraldoo1,Colombia,"#CadenaDeAfectosPorPetro 
#cuidarnuestrosmedicoses 
#CadenaDeAfectosPorPetro 
#cuidarnuestrosmedicoses 
Veo que el panorama del viejito se torna oscuro gracias al covi diejinueve"
flamihup,"Bogotá, D.C., Colombia","Él médico de la Fundación Santa Fe, si violo la ética médica al dar a conocer una historia clínica. Debe ser investigado, por el Tribunal de Ética Médica y la justicia penal #cuidarnuestrosmedicoses #CadenaDeAfectosPorPetro #HeroesEnLaVia https://t.co/vZRgRwhrPJ"
germandiazt,"Bogotá, D.C., Colombia","#CadenaDeAfectosPorPetro
La lucha es la divisa de tu talante, de muchas has salido airoso, de esta saldrás. ¡Colombia te necesita! Un abrazo compañero"
nanayeayea,Colombia,#CadenaDeAfectosPorPetro la voz de la constitucion sos vos y no te tumba la sarta dementiras y perseciciones. menos un daño fisico. Con toda y sos muy valioso para la democracia. Colombia te requiere.
KARENLORENARODR,COLOMBIA,"Que la vida recompense con salud, todo lo que has hecho por los más necesitados. #CadenaDeAfectosPorPetro"
JorgeMa36221757,,"@cielo_rusinque @petrogustavo También hago compañía, Dios lo acompaña. #CadenaDeAfectosPorPetro"
NatalGarca1,"Bogotá, D.C., Colombia",Jajajajajajajaja #CadenaDeAfectosPorPetro
OscarH14965244,,Execelente noticia @petrogustavo ahora sí a seguir trabajando por un país que lo necesita y lo quiere. #CadenaDeAfectosPorPetro
MiTaxxI,Bogotá,"@LosDanielesOp Esta si es VERDAD pero los #Uribestias no están listos para esta conversación

#CadenaDeAfectosPorPetro https://t.co/0oEGSJv01n"
StefanBravo3,"Medellín, Colombia","#CadenaDeAfectosPorPetro
Increíble todo lo que se inventó 🤦‍♀️ https://t.co/Cxuboy3vf9"
mikebisaacs,Bogotá,"Sin duda, Petro es de las mejores cosas que le ha pasado a la política colombiana. Gracias @petrogustavo por abrirnos los ojos a millones de colombianos
#CadenaDeAfectosPorPetro"
reformista_lib,"Bogotá, D.C., Colombia","Como es que el senador Petro está por encima de la ley para viajar libremente a sacarse un examen que fácilmente se puede sacar en Colombia? La ley para los de ruana 

#CadenaDeAfectosPorPetro"
mistermagu72,"Bogotá, D.C., Colombia","Gracias Gustavo Bolívar...!!!
Y seguimos en la #CadenaDeAfectosPorPetro
#FuerzaPetro https://t.co/ud7TMlMlgf"
Karla_Torres_E,Colombia ,#CadenaDeAfectosPorPetro por Dios quien sacó esta tenedencia !
efrapotter,,"Me alegra mucho saber que Gustavo Petro salió bien de su cirugía. TODAS LAS VOCES deben ser escuchadas si queremos paz y un gobierno más equitativo, libre y que nos una la fraternidad.

Solo juntos, como ayer Medellín con @QuinteroCalle triunfaremos.

#CadenaDeAfectosPorPetro"
MigueIPoIoP,Cartagena de Indias y Tolú,Gustavo Petro se conecta por Zoom a la plenaria del Senado aún después de una cirugía. El concejal más joven del universo piensa que todos los días son domingo #CadenaDeAfectosPorPetro
gener_usuga,"Paris, France","Junto amis hijos oramos por la recuperación de todos las personas q padecen el #Covid_19, también por la salud de Gustavo Petro y Edilberto Muñoz.
#VelatonPorLaVida #CadenaDeAfectosPorPetro #FuerzaPetro #FuerzaEdilberto https://t.co/nugFcU95l0"
Jose_atehortua,Medellín,#CadenaDeAfectosPorPetro Un fraterno saludo y bendecido abrazo al líder al amigo. Ánimo @petrogustavo de ésta salimos! https://t.co/e3UcoFaWJq
juliocra23,"Cali, Colombia",#CadenaDeAfectosPorPetro tienes todo nuestro apoyo
mariomateusvar1,Bogotá ,"@petrogustavo, hasta su enfermedad es cuestionada. Usted representa hasta las penurias que padece día a día todo el pueblo colombiano con este indigno sistema de salud.   

La lucha continúa y estamos convencid@s que ud. como siempre superará y vencerá.

#CadenaDeAfectosPorPetro"
100precarla,"En mi ®eino, algo desubicada",Porque se lo merece por su eterna lucha e incondicionalidad a su patria 💪💯 #CadenaDeAfectosPorPetro
rpquintero,sólo de paso...,"#FuerzaPetro #FuerzaPetroEstamosContigo  #CadenaDeAfectosPorPetro
Estamos contigo querido Petro ❤️❤️❤️🇨🇴Humana"
anmava2011,"bogota, colombia","El 99% de los que hemos tenido una endoscopia,  ahora podemos decir que tuvimos cirugía y pedir en las próximas que nos den incapacidad. 😏😏😏😏

 #CadenaDeAfectosPorPetro #FuerzaPetro"
RadioNuestro,"Bogotá, D.C., Colombia","Nos unimos a esta #CadenaDeAfectosPorPetro ,deseando que los resultados del examen sean los mejores . Es lo menos que le podemos desear a un  ser humano,independientemente de su credo,filosofía o tendencia política.Pronta recuperaciòn. https://t.co/P4gDcAn4Up"
RadioNuestro,"Bogotá, D.C., Colombia","@GustavoBolivar Nos unimos a esta #CadenaDeAfectosPorPetro ,deseando que los resultados del examen sean los mejores . Es lo menos que le podemos desear a un  ser humano,independientemente de su credo,filosofía o tendencia política.Pronta recuperaciòn."
alfredopetroju3,Colombia Bogotá ,"RepúblicaDeLatinoamérica (@ManuelBeltrn14) twitteó: Cuál es el miedo de la derecha con la emfermedad de Petro?

Fácil, si Petro vence al cáncer, no habrá fraude que valga para robarle las elecciones otra vez

Vamos, Petro, el pueblo te acompaña. 

#CadenaDeAfectosPorPetro"
maritzapinzonc,,"#CadenaDeAfectosPorPetro un abrazo solidario, unido a mis mejores deseos por una pronta recuperación."
magimoci,bogota,@VillamilBMauro @Marianiniecheve #CadenaDeAfectosPorPetro al árbol que más frutos da es al que más le tiran piedra
cesarcastricord,"Cali, Colombia","Ya la ciencia cumplió con @petrogustavo, ahora sí que la justicia colombiana haga lo que le corresponde por la ILEGALIDAD de la salida de este congresista, en tiempo de aislamiento preventivo nacional. No pienso discutirlo con nadie. #CadenaDeAfectosPorPetro"
XxalvaroBxX,"Bogotá, D.C., Colombia",Porque a la corrupción no le puede quedar el camino libre... #CadenaDeAfectosPorPetro
jcgiraldoo1,Colombia,"#CadenaDeAfectosPorPetro 
#cuidarnuestrosmedicoses 
desatornillar los que se creen dueños de Colombia"
Miguel50Garcia,"Bogotá, D.C., Colombia","DIOS Gracias por ese primer paso en la Salud de PETRO. Buen augurio y, sigamos ORANDO por SANIDAD COMPLETA. Grande @petrogustavo #FuerzaPetro #CadenaDeAfectosPorPetro Colombia te necesita. @GustavoBolivar @HOLLMANMORRIS @jcuestanovoa https://t.co/25w1RDvZdp"
softcol23,,Porque se lo merece por su eterna lucha #CadenaDeAfectosPorPetro
HenryE1979,"Sogamoso, Colombia","Bien Petro lo felicito y  de corazón esperó que todo salga muy bien. Lo necesita esa Colombia llena de injusticias, esa Colombia que  no  tiene voz. #CadenaDeAfectosPorPetro"
FloriQuinte1607,"Guadalajara de Buga, Colombia","#CadenaDeAfectosPorPetro el KKS se recuperó del cáncer rápido como el fast track del traidor d sanjudas, era d esperarse si el mexiaz sabía q no tenía ni 💩.Ya en 🇨🇴 en la Clínica SantaFe &amp; Sofía le habían dicho q estaba bn. Lo del cáncer es solo un embuste, para irse a Cuba SP. https://t.co/Z69BgztrAl"
juandrendonf,Medellin,Ojalá se muera ese hijo de puta que no ha hecho sino sembrar odio en mi país... Bendito sea Dios y se muera ese malparido #CadenaDeAfectosPorPetro
satanaslove,ArgenChile,"Pronta recuperación a @petrogustavo, Legítimo Presidente de Colombia, &amp; #GoVegan

#CadenaDeAfectosPorPetro"
SaraRinconGarc2,,"@GustavoBolivar #CadenaDeAfectosPorPetro vamos a estar muy atentos ,Dios lo va cuidar"
gomezandresf,MISSISSAUGA. CANADA.,"Donde @petrogustavo hubiera dicho que se fracturó una costilla, al caer de un Caballo, ningún pseudo periodista, congresista o “ciudadano de bien” lo estuviera cuestionando tanto. 

#CadenaDeAfectosPorPetro"
dianacanonb,"Bogotá, D.C., Colombia","#CadenaDeAfectosPorPetro
@petrogustavo es la única esperanza de cambio para Colombia.
Larga vida a Petro!
💛💙❤"
observadorsmart,"Bogota, Colombia","#CadenaDeAfectosPorPetro, 
Salgan celebrar, qué tal una marcha ?"
hersilia_rueda,,Gracias a Dios por la salud de nuestro gran líder Perro#CadenaDeAfectosPorPetro
Constan63652023,"Bogotá, D.C., Colombia",Dios esta contigo #CadenaDeAfectosPorPetro
Constan63652023,"Bogotá, D.C., Colombia",Bendiciones #CadenaDeAfectosPorPetro
NelsonMoncayoY,,"#CadenaDeAfectosPorPetro
Una pronta recuperación, futuro presidente."
CarlosCarreoF3,,"Regando semillas de amor, afecta y sincera convivencia colectiva de nuestra patria entera y en rechazo al odio sembrado en conciencias desprevenidas, un abrazo y muchas energías vitales para Gustavo Petro#CadenaDeAfectosPorPetro"
sexilectual,,"#CadenaDeAfectosPorPetro afectos sí. @petrogustavo amigo, Colombia te necesita sano para llegar a la Casa de Nariño y barrer la podredumbre. @nicolaspetroB @GustavoBolivar @AidaAvellaE @intiasprilla @PizarroMariaJo @DavidRacero @IvanCepedaCast @ClaraLopezObre @HOLLMANMORRIS"
JosArri68116342,Colombia,Animo petro que de esta saldrás mas fuerte #CadenaDeAfectosPorPetro
Danreyes89,"Pereira, la capital del Eje",#CadenaDeAfectosPorPetro el único de los ex candidatos que de verdad se preocupó por el personal de la salud. Fuerza Petro.
salitama,Colombia,"Las plagas se replican y se vuelven más fuertes, se murió Chávez y llego Maduro #CadenaDeAfectosPorPetro preferible esa lacra que su sucesor, el posible que sea peor."
colacho_rojas,"Medellín, Colombia",Ni mi ex me engañó tanto como petro lo hizo 😨 #CadenaDeAfectosPorPetro
salitama,Colombia,"#CadenaDeAfectosPorPetro jajaj será cadena de afectados por Petro, a ese tipo lo quiere si al caso la familia y las locotas de @GustavoBolivar y @HOLLMANMORRIS"
DuvanMoralesB,"Sabaneta, Colombia",Vamos #CadenaDeAfectosPorPetro
